id,workshop_use,source_language,source,target_language,target,english_support_note,suggested_accuracy_subtype,suggested_reason,participant_accuracy_subtype,participant_severity,participant_reason
WSLQA-NL-001,live_annotation,English,"Waterproof LED lamp, 5 W",Dutch,"Waterdichte LED-lamp, 5 W","Back-translation: Waterproof LED lamp, 5 W.",none,The target appears to preserve the source meaning.,,,
WSLQA-NL-002,live_annotation,English,Set of 4 glasses,Dutch,Set van 6 glazen,Back-translation: Set of 6 glasses.,mistranslation,The quantity looks different.,,,
WSLQA-NL-003,live_annotation,English,"Waterproof powerbank, 10000 mAh",Dutch,"Powerbank, 10000 mAh","Back-translation: Powerbank, 10000 mAh.",omission,The waterproof property seems to be missing.,,,
WSLQA-NL-004,prepared_gold,English,Coffee machine with filter,Dutch,Koffiemachine met filter en thermometer,Back-translation: Coffee machine with filter and thermometer.,addition,The target seems to add a component.,,,
WSLQA-NL-005,prepared_gold,English,Battery charger with cable,Dutch,Battery charger met kabel,"Back-translation: Battery charger with cable, with 'Battery charger' left in English.",untranslated,Part of the title remains in English.,,,
WSLQA-NL-006,live_annotation,English,GreenLeaf tea,Dutch,GroenBlad thee,"Back-translation: GreenLeaf tea, with the brand rendered literally as Green-Leaf.",mistranslation,The brand meaning looks changed.,,,
WSLQA-NL-007,live_annotation,English,"USB-C adapter, 5 V",Dutch,"USB-C-adapter, 50 V","Back-translation: USB-C adapter, 50 V.",mistranslation,The voltage looks different.,,,
WSLQA-NL-008,prepared_gold,English,"Vitamin C, 2 tablets per day",Dutch,"Vitamine C, 20 tabletten per dag","Back-translation: Vitamin C, 20 tablets per day.",none,The target appears to preserve the source meaning.,,,
WSLQA-NL-009,live_annotation,English,"Glass bottle, 1,500 ml",Dutch,"Glazen fles, 1.500 ml","Back-translation: Glass bottle, 1,500 ml. NOTE: in Dutch the period is the thousands separator, so 1.500 ml equals 1,500 ml.",mistranslation,The number formatting looks changed.,,,
WSLQA-NL-010,prepared_gold,English,Light blue cotton T-shirt,Dutch,Blauw katoenen T-shirt,Back-translation: Blue cotton T-shirt.,omission,A shade detail seems to be missing.,,,
WSLQA-NL-011,prepared_gold,English,"Shampoo, 250 ml",Dutch,"Shampoo en balsem, 250 ml","Back-translation: Shampoo and conditioner, 250 ml (balsem = conditioner).",addition,The target seems to add a product.,,,
WSLQA-NL-012,prepared_gold,English,Pack of 3 white cotton socks,Dutch,Set van 3 witte katoenen sokken,Back-translation: Set of 3 white cotton socks ('Pack' rendered as 'Set').,mistranslation,'Pack' is rendered as 'Set'.,,,
